Timestamp,Currency_Name,Rate_to_RUB
2023-03-04 12:00:00,Армянский драм,0.1944
2023-03-04 12:00:00,Дирхам ОАЭ,20.5449
2023-03-04 12:00:00,Южнокорейская вона,0.058
2023-03-04 12:00:00,Сингапурский доллар,55.9994
2023-03-04 12:00:00,Турецкая лира,3.9959
2023-03-04 12:00:00,Канадский доллар,55.4276
2023-03-04 12:00:00,Индийская рупия,0.912
2023-03-04 12:00:00,Польский злотый,17.0106
2023-03-04 12:00:00,Евро,80.0469
2023-03-04 12:00:00,Казахстанский тенге,0.1732
2023-03-07 12:00:00,Дирхам ОАЭ,20.5486
2023-03-07 12:00:00,Армянский драм,0.1943
2023-03-07 12:00:00,Казахстанский тенге,0.1751
2023-03-07 12:00:00,Индийская рупия,0.9102
2023-03-07 12:00:00,Польский злотый,17.0575
2023-03-07 12:00:00,Австралийский доллар,50.9894
2023-03-07 12:00:00,Доллар США,75.4728
2023-03-07 12:00:00,Шведская крона,7.2007
2023-03-07 12:00:00,Евро,80.2353
2023-03-07 12:00:00,Канадский доллар,55.4539
2023-03-07 12:00:00,Турецкая лира,3.9984
2023-03-07 12:00:00,Сингапурский доллар,56.1554
2023-03-07 12:00:00,Швейцарский франк,80.7887
2023-03-07 12:00:00,Белорусский рубль,26.5993
2023-03-07 12:00:00,Южнокорейская вона,0.058
2023-03-07 12:00:00,Японская иена,0.5555
2023-03-07 12:00:00,Грузинский лари,28.9567
2023-03-07 12:00:00,Фунт стерлингов Соединенного королевства,90.3938
2023-03-07 12:00:00,Китайский юань,10.8754
2023-03-08 12:00:00,Японская иена,0.5545
2023-03-08 12:00:00,Польский злотый,17.1545
2023-03-08 12:00:00,Дирхам ОАЭ,20.5444
2023-03-08 12:00:00,Швейцарский франк,80.9111
2023-03-08 12:00:00,Грузинский лари,29.0121
2023-03-08 12:00:00,Армянский драм,0.1942
2023-03-08 12:00:00,Индийская рупия,0.9126
2023-03-08 12:00:00,Белорусский рубль,26.6212
2023-03-08 12:00:00,Канадский доллар,55.4225
2023-03-08 12:00:00,Фунт стерлингов Соединенного королевства,90.5643
2023-03-08 12:00:00,Южнокорейская вона,0.0581
2023-03-08 12:00:00,Турецкая лира,3.9931
2023-03-08 12:00:00,Китайский юань,10.8672
2023-03-08 12:00:00,Доллар США,75.4577
2023-03-08 12:00:00,Шведская крона,7.2193
2023-03-08 12:00:00,Австралийский доллар,50.6548
2023-03-08 12:00:00,Сингапурский доллар,56.1149
2023-03-08 12:00:00,Евро,80.5496
2023-03-08 12:00:00,Казахстанский тенге,0.1743
2023-03-10 12:00:00,Шведская крона,7.0973
2023-03-10 12:00:00,Южнокорейская вона,0.0574
2023-03-10 12:00:00,Сингапурский доллар,56.0665
2023-03-10 12:00:00,Армянский драм,0.1954
2023-03-10 12:00:00,Дирхам ОАЭ,20.6656
2023-03-10 12:00:00,Швейцарский франк,80.963
2023-03-10 12:00:00,Белорусский рубль,26.6578
2023-03-10 12:00:00,Австралийский доллар,50.1718
2023-03-10 12:00:00,Евро,80.1372
2023-03-10 12:00:00,Японская иена,0.554
2023-03-10 12:00:00,Доллар США,75.9028
2023-03-10 12:00:00,Казахстанский тенге,0.1731
2023-03-10 12:00:00,Китайский юань,10.8623
2023-03-10 12:00:00,Индийская рупия,0.9194
2023-03-10 12:00:00,Фунт стерлингов Соединенного королевства,89.8461
2023-03-10 12:00:00,Канадский доллар,55.0619
2023-03-10 12:00:00,Польский злотый,17.147
2023-03-10 12:00:00,Грузинский лари,29.2237
2023-03-10 12:00:00,Турецкая лира,4.0095
2023-03-11 12:00:00,Армянский драм,0.1956
2023-03-11 12:00:00,Индийская рупия,0.9231
2023-03-11 12:00:00,Южнокорейская вона,0.0573
2023-03-11 12:00:00,Грузинский лари,29.2834
2023-03-11 12:00:00,Шведская крона,7.0539
2023-03-11 12:00:00,Евро,80.4009
2023-03-11 12:00:00,Турецкая лира,4.0082
2023-03-11 12:00:00,Австралийский доллар,50.1132
2023-03-11 12:00:00,Казахстанский тенге,0.1722
2023-03-11 12:00:00,Сингапурский доллар,56.0117
2023-03-11 12:00:00,Дирхам ОАЭ,20.677
2023-03-11 12:00:00,Доллар США,75.9406
2023-03-11 12:00:00,Китайский юань,10.8995
2023-03-11 12:00:00,Польский злотый,17.1741
2023-03-11 12:00:00,Фунт стерлингов Соединенного королевства,90.3086
2023-03-11 12:00:00,Японская иена,0.5588
2023-03-11 12:00:00,Швейцарский франк,81.6478
2023-03-11 12:00:00,Белорусский рубль,26.6758
2023-03-11 12:00:00,Канадский доллар,55.0693
2023-03-14 12:00:00,Фунт стерлингов Соединенного королевства,91.3228
2023-03-14 12:00:00,Шведская крона,7.0971
2023-03-14 12:00:00,Белорусский рубль,26.5773
2023-03-14 12:00:00,Турецкая лира,3.9812
2023-03-14 12:00:00,Канадский доллар,54.6541
2023-03-14 12:00:00,Казахстанский тенге,0.1692
2023-03-14 12:00:00,Южнокорейская вона,0.057
2023-03-14 12:00:00,Евро,80.6102
2023-03-14 12:00:00,Польский злотый,17.1098
2023-03-14 12:00:00,Австралийский доллар,50.2947
2023-03-14 12:00:00,Доллар США,75.4609
2023-03-14 12:00:00,Сингапурский доллар,56.1381
2023-03-14 12:00:00,Грузинский лари,29.1074
2023-03-14 12:00:00,Армянский драм,0.1943
2023-03-14 12:00:00,Индийская рупия,0.9231
2023-03-14 12:00:00,Дирхам ОАЭ,20.5464
2023-03-14 12:00:00,Китайский юань,10.9313
2023-03-14 12:00:00,Швейцарский франк,82.6969
2023-03-14 12:00:00,Японская иена,0.5618
2023-03-15 12:00:00,Сингапурский доллар,55.7809
2023-03-15 12:00:00,Японская иена,0.5651
2023-03-15 12:00:00,Белорусский рубль,26.5811
2023-03-15 12:00:00,Австралийский доллар,49.9956
2023-03-15 12:00:00,Польский злотый,17.2539
2023-03-15 12:00:00,Южнокорейская вона,0.0574
2023-03-15 12:00:00,Индийская рупия,0.9198
2023-03-15 12:00:00,Турецкая лира,3.9645
2023-03-15 12:00:00,Фунт стерлингов Соединенного королевства,91.4268
2023-03-15 12:00:00,Грузинский лари,29.0342
2023-03-15 12:00:00,Канадский доллар,54.7653
2023-03-15 12:00:00,Евро,80.5192
2023-03-15 12:00:00,Шведская крона,7.0819
2023-03-15 12:00:00,Казахстанский тенге,0.1647
2023-03-15 12:00:00,Доллар США,75.1927
2023-03-15 12:00:00,Швейцарский франк,82.4843
2023-03-15 12:00:00,Армянский драм,0.1934
2023-03-15 12:00:00,Китайский юань,10.9296
2023-03-15 12:00:00,Дирхам ОАЭ,20.4729
2023-03-16 12:00:00,Армянский драм,0.195
2023-03-16 12:00:00,Индийская рупия,0.9227
2023-03-16 12:00:00,Евро,80.8763
2023-03-16 12:00:00,Грузинский лари,29.3009
2023-03-16 12:00:00,Доллар США,75.7457
2023-03-16 12:00:00,Казахстанский тенге,0.1653
2023-03-16 12:00:00,Южнокорейская вона,0.0581
2023-03-16 12:00:00,Японская иена,0.5629
2023-03-16 12:00:00,Шведская крона,7.2749
2023-03-16 12:00:00,Китайский юань,10.9704
2023-03-16 12:00:00,Дирхам ОАЭ,20.6234
2023-03-16 12:00:00,Австралийский доллар,50.689
2023-03-16 12:00:00,Польский злотый,17.0158
2023-03-16 12:00:00,Швейцарский франк,82.4667
2023-03-16 12:00:00,Турецкая лира,3.9932
2023-03-16 12:00:00,Белорусский рубль,26.7199
2023-03-16 12:00:00,Канадский доллар,55.3818
2023-03-16 12:00:00,Сингапурский доллар,56.4424
2023-03-16 12:00:00,Фунт стерлингов Соединенного королевства,92.0007
2023-03-17 12:00:00,Казахстанский тенге,0.1644
2023-03-17 12:00:00,Грузинский лари,29.5394
2023-03-17 12:00:00,Сингапурский доллар,56.5661
2023-03-17 12:00:00,Евро,81.1418
2023-03-17 12:00:00,Японская иена,0.5765
2023-03-17 12:00:00,Канадский доллар,55.4576
2023-03-17 12:00:00,Доллар США,76.4095
2023-03-17 12:00:00,Швейцарский франк,82.4266
2023-03-17 12:00:00,Турецкая лира,4.0268
2023-03-17 12:00:00,Фунт стерлингов Соединенного королевства,91.9053
2023-03-17 12:00:00,Индийская рупия,0.9328
2023-03-17 12:00:00,Шведская крона,7.2395
2023-03-17 12:00:00,Белорусский рубль,26.8226
2023-03-17 12:00:00,Австралийский доллар,50.713
2023-03-17 12:00:00,Армянский драм,0.1966
2023-03-17 12:00:00,Дирхам ОАЭ,20.8047
2023-03-17 12:00:00,Китайский юань,11.0485
2023-03-17 12:00:00,Польский злотый,17.2778
2023-03-17 12:00:00,Южнокорейская вона,0.0582
2023-03-18 12:00:00,Грузинский лари,29.6548
2023-03-18 12:00:00,Фунт стерлингов Соединенного королевства,92.7603
2023-03-18 12:00:00,Сингапурский доллар,57.078
2023-03-18 12:00:00,Евро,81.4635
2023-03-18 12:00:00,Южнокорейская вона,0.0588
2023-03-18 12:00:00,Японская иена,0.5739
2023-03-18 12:00:00,Китайский юань,11.1226
2023-03-18 12:00:00,Австралийский доллар,51.4322
2023-03-18 12:00:00,Доллар США,76.6044
2023-03-18 12:00:00,Индийская рупия,0.934
2023-03-18 12:00:00,Швейцарский франк,82.7351
2023-03-18 12:00:00,Шведская крона,7.3269
2023-03-18 12:00:00,Турецкая лира,4.0334
2023-03-18 12:00:00,Армянский драм,0.1973
2023-03-18 12:00:00,Белорусский рубль,26.891
2023-03-18 12:00:00,Казахстанский тенге,0.1643
2023-03-18 12:00:00,Дирхам ОАЭ,20.8572
2023-03-18 12:00:00,Польский злотый,17.2926
2023-03-18 12:00:00,Канадский доллар,55.7366
2023-03-21 12:00:00,Индийская рупия,0.943
2023-03-21 12:00:00,Китайский юань,11.2057
2023-03-21 12:00:00,Сингапурский доллар,57.5618
2023-03-21 12:00:00,Турецкая лира,4.0663
2023-03-21 12:00:00,Швейцарский франк,83.1187
2023-03-21 12:00:00,Польский злотый,17.5754
2023-03-21 12:00:00,Белорусский рубль,26.9062
2023-03-21 12:00:00,Евро,82.3736
2023-03-21 12:00:00,Шведская крона,7.3379
